utterance;level_0;level_1;level_2;tp;absatz;seq
Können wir schon ein bisschen improvisieren oder? Mhm Und was wann kommt die Sahne?;fact;Ingredient;Ingredient addition point in time;8;144;73
Mhm Und was wann kommt die Sahne? Ah da stand süß-sauer oder?;fact;Meal;Meal Flavor;8;150;74
Ah da stand süß-sauer oder? Ok. Dann Sahne brauchen wir gar nicht.;fact;Ingredient;Ingredients in Recipe;8;152;75
Ok. Dann Sahne brauchen wir gar nicht. Da ist aber da kochen sie es mit den Nudeln oder?;fact;Ingredient;Ingredients in Recipe;8;154;76
Da ist aber da kochen sie es mit den Nudeln oder? Ja oder mit Reis.;fact;Ingredient;Ingredients in Recipe;8;158;77
Ja oder mit Reis. Einfach so. Ja?;competence;Preparation;Preparation Steps;8;162;78
Einfach so. Ja? Hast du schon mal die Reis so gekocht?;fact;Miscellaneous;Experience;8;164;79
Hast du schon mal die Reis so gekocht? 15?;fact;Time;Cooking Time Reassurance;8;168;80
15? Jetzt ist es 35 das heißt um zehn vor. Oder?;fact;Time;Cooking Time Reassurance;8;170;81
Jetzt ist es 35 das heißt um zehn vor. Oder? Und was ist mit unserer Soße hab ich alles vergessen;competence;Preparation;Preparation Steps;8;170;82
Und was ist mit unserer Soße hab ich alles vergessen. Paprika und Ananas jetzt können wir schon oder?;fact;Ingredient;Ingredient addition point in time;8;172;83
Paprika und Ananas jetzt können wir schon oder?;fact;Ingredient;Ingredient addition point in time;8;172;84
Paprika und Ananas jetzt können wir schon oder? Und jetzt Ananas soll ja kochen oder?;competence;Preparation;Preparation Steps;8;180;85
Und jetzt Ananas soll ja kochen oder? So wie spät ist es jetzt?;fact;Time;Plain Time;8;190;86
So wie spät ist es jetzt? Du hast gesagt dann aufschneiden Und das war es oder?;competence;Preparation;Preparation Steps;8;194;87
Du hast gesagt dann aufschneiden Und das war es oder? Und das war es oder?;competence;Preparation;Preparation finished reassurance;8;194;88
Und das war es oder? Sollen wir es nicht in kaltem Wasser oder nicht.;competence;Preparation;Preparation Steps;8;196;89
Gibt es ein Rezept mit roten Linsen und Spargel.;fact;Recipe;Recipe Retrieval;9;2;1
Gibt es ein Rezept mit roten Linsen und Spargel. Ok bei dem Rezept mit dem grünen Spargel den roten Linsen und den Kartoffeln was sind da für andere Zutaten?;fact;Ingredient;Ingredients in Recipe;9;10;2
Ok bei dem Rezept mit dem grünen Spargel den roten Linsen und den Kartoffeln was sind da für andere Zutaten? Kommt Zwiebel rein?;fact;Ingredient;Ingredients in Recipe;9;12;3
Kommt Zwiebel rein? Weil wir können ja wir können ja einfach zwei Sachen machen oder?;fact;Miscellaneous;Question regarding experiment;9;12;4
Weil wir können ja wir können ja einfach zwei Sachen machen oder? Also wenn ich kannst du mir dann auch immer sagen was ich machen muss oder gibst du mir einfach das Rezept und ich koch danach?;fact;Miscellaneous;Question regarding experiment;9;16;5
Also wenn ich kannst du mir dann auch immer sagen was ich machen muss oder gibst du mir einfach das Rezept und ich koch danach? Die dauern am längsten oder?;fact;Time;Cooking Time;9;24;6
Die dauern am längsten oder? Ähm Mit was muss ich denn anfangen. Wahrscheinlich mit den Linsen.;competence;Preparation;Preparation Steps;9;24;7
Ähm Mit was muss ich denn anfangen. Wahrscheinlich mit den Linsen. Und wie viel Spargel brauchen wir?;fact;Amount;Amount of Ingredients;9;28;8
Und wie viel Spargel brauchen wir? Also so Wahrscheinlich drei Zentimeter lang. Vermute ich mal.;fact;Ingredient;Ingredient - Texture,Appearance;9;30;9
Also so Wahrscheinlich drei Zentimeter lang. Vermute ich mal.;fact;Ingredient;Ingredient - Texture,Appearance;9;30;10
Also so Wahrscheinlich drei Zentimeter lang. Vermute ich mal. Grünen Spargel muss man ja nicht schälen gell?;competence;Cooking technique;Cooking technique - Ingredient;9;30;11
Grünen Spargel muss man ja nicht schälen gell? Ok was muss ich mit dem Spargel nochmal machen wenn ich den kleingeschnitten hab?;competence;Preparation;Preparation Steps;9;34;12
Ok was muss ich mit dem Spargel nochmal machen wenn ich den kleingeschnitten hab? Ok. Spargel ist geschnitten was ist der nächste Schritt?;competence;Preparation;Preparation Steps;9;36;13
Ok. Spargel ist geschnitten was ist der nächste Schritt? Ok. Ähm Wie viele rote Linsen brauchen wir?;fact;Amount;Amount of Ingredients;9;38;14
Ok. Ähm Wie viele rote Linsen brauchen wir? Ok und Linsen muss man abspülen bevor man sie kocht. Glaube ich Steht da was drauf auf der Packung?;competence;Cooking technique;Cooking technique - Ingredient;9;40;15
Ok und Linsen muss man abspülen bevor man sie kocht. Glaube ich Steht da was drauf auf der Packung? Wie viel Gramm waren es 150 Gramm?;fact;Amount;Amount of Ingredients;9;42;16
Wie viel Gramm waren es 150 Gramm?;fact;Amount;Amount of Ingredients;9;42;17
Wie viel Gramm waren es 150 Gramm? Ok. Also ich spül es jetzt einfach mal ab. Schaden tut es bestimmt nicht.;fact;Ingredient;Ingredient - Proper Usage;9;44;18
Ok. Also ich spül es jetzt einfach mal ab. Schaden tut es bestimmt nicht.;fact;Ingredient;Ingredient - Proper Usage;9;44;19
Ok. Also ich spül es jetzt einfach mal ab. Schaden tut es bestimmt nicht. Und die muss man jetzt mit Gemüsebrühe im Topf kochen.;fact;Equipment;Ingredient addition to equipment;9;46;20
Und die muss man jetzt mit Gemüsebrühe im Topf kochen. Gut. Und die muss man jetzt mit Gemüsebrühe im Topf kochen.;competence;Preparation;Preparation Steps;9;46;21
Gut. Und die muss man jetzt mit Gemüsebrühe im Topf kochen. Muss ich irgendwas anbraten davor?;competence;Preparation;Preparation Steps;9;48;22
Muss ich irgendwas anbraten davor? Oder direkt alles rein.;competence;Preparation;Preparation Steps;9;48;23
Oder direkt alles rein. So. Ok. Gemüsebrühe brauche ich wie viel?;fact;Amount;Amount of Ingredients;9;52;24
So. Ok. Gemüsebrühe brauche ich wie viel? Ok. Dann muss da noch ein Lorbeerblatt mit rein gell?;competence;Preparation;Preparation Steps;9;54;25
Ok. Dann muss da noch ein Lorbeerblatt mit rein gell? Kann ich jetzt hier drauf gucken wie viel BRÜhewürfel in 250 Milliliter sind?;fact;Miscellaneous;Question regarding experiment;9;54;26
Kann ich jetzt hier drauf gucken wie viel BRÜhewürfel in 250 Milliliter sind? Ok Tomatenmark? Wie viel war es bei Tomatenmark?;fact;Amount;Amount of Ingredients;9;56;27
Ok Tomatenmark? Wie viel war es bei Tomatenmark? Ok. Und die anderen Zutaten habe ich vergessen.;fact;Ingredient;Ingredients in Recipe;9;58;28
Ok. Und die anderen Zutaten habe ich vergessen. Steht dran was für Kräuter?;fact;Ingredient;Ingredient Type;9;60;29
Steht dran was für Kräuter? Oder einfach irgendwelche.;fact;Ingredient;Ingredient Type;9;62;30
Oder einfach irgendwelche. Und wie viel von der Sojasoße?;fact;Amount;Amount of Ingredients;9;64;31
Und wie viel von der Sojasoße? Gut wie lange muss man das kochen? Steht da was drin?;fact;Time;Cooking Time;9;66;32
Gut wie lange muss man das kochen? Steht da was drin? Ja gut dann Geh ich davon aus dass man das kochen muss bis die Linsen weich sind oder so.;fact;Ingredient;Ingredient - Texture,Appearance;9;68;33
Ja gut dann Geh ich davon aus dass man das kochen muss bis die Linsen weich sind oder so.;fact;Ingredient;Ingredient - Texture,Appearance;9;68;34
Ja gut dann Geh ich davon aus dass man das kochen muss bis die Linsen weich sind oder so. Was steht noch drin?;competence;Preparation;Preparation Steps;9;70;35
Was steht noch drin? Kam dann als nächstes schon gleich der Spargel in die Pfanne oder;competence;Preparation;Preparation Steps;9;70;36
Kam dann als nächstes schon gleich der Spargel in die Pfanne oder. Ok. Ähm Die Kartoffeln brauchen wir wie viel Gramm davon?;fact;Amount;Amount of Ingredients;9;72;37
Ok. Ähm Die Kartoffeln brauchen wir wie viel Gramm davon? Wie lange müssen die kochen? Da steh- steht da eine Kochzeit dabei?;fact;Time;Cooking Time;9;76;38
Wie lange müssen die kochen? Da steh- steht da eine Kochzeit dabei? Aber ich glaube Kartoffeln brauchen relativ lang zum kochen.;fact;Time;Cooking Time Reassurance;9;78;39
Aber ich glaube Kartoffeln brauchen relativ lang zum kochen. Kannst du schauen wie lang Kartoffeln in einem Schnellkochtopf brauchen?;fact;Time;Cooking Time;9;78;40
Kannst du schauen wie lang Kartoffeln in einem Schnellkochtopf brauchen? Muss zu den Salzkartoffeln Salz mit rein;fact;Ingredient;Ingredients in Recipe;9;94;41
Muss zu den Salzkartoffeln Salz mit rein. Und jetzt müssen wir jetzt warten bis die Kartoffeln fertig sind oder kann man mit dem Spargel schon weitermachen.;competence;Preparation;Preparation Steps;9;98;42
Und jetzt müssen wir jetzt warten bis die Kartoffeln fertig sind oder kann man mit dem Spargel schon weitermachen. Was musste ich nochmal zum Spargel dazugeben?;fact;Ingredient;Ingredients in Recipe;9;100;43
Was musste ich nochmal zum Spargel dazugeben? Wie viel Zucker?;fact;Amount;Amount of Ingredients;9;102;44
Wie viel Zucker? Ok. Und wie lang muss ich den Spargel anbraten auch bis er weich wird oder;fact;Time;Roasting Time;9;104;45
Ok. Und wie lang muss ich den Spargel anbraten auch bis er weich wird oder. Hm. Ok soll ich aus den anderen Zutaten jetzt auch noch was machen? Oder;fact;Miscellaneous;Question regarding experiment;9;106;46
Hm. Ok soll ich aus den anderen Zutaten jetzt auch noch was machen? Oder. Ok dann ähm kannst du noch ein Hummus-Rezept raussuchen?;fact;Recipe;Recipe Retrieval;9;108;47
Ok dann ähm kannst du noch ein Hummus-Rezept raussuchen? Mhm?;fact;Recipe;Recipe Summary;9;110;48
Mhm? Hä ich könnt eigentlich hier auch so ein bisschen saure Sahne reinhauen können oder?;fact;Ingredient;Ingredients in Recipe;9;116;49
Hä ich könnt eigentlich hier auch so ein bisschen saure Sahne reinhauen können oder? Muss ich das eigentlich noch weiterverarbeiten oder ist das Rezept fertig wenn die ganzen Sachen fertig sind;competence;Preparation;Preparation Steps;9;116;50
Dann hätt ich gern ein Rezept mit Linsen Kichererbsen ähm und Tomaten.;fact;Recipe;Recipe Retrieval;10;1;1
Dann hätt ich gern ein Rezept mit Linsen Kichererbsen ähm und Tomaten. Dann ähm Wie fang ich an damit Also was steht im Rezept?;competence;Preparation;Preparation Steps;10;7;2
Dann ähm Wie fang ich an damit Also was steht im Rezept? Gibt es vielleicht noch ein einfacheres Rezept?;fact;Recipe;Recipe Retrieval;10;11;3
Gibt es vielleicht noch ein einfacheres Rezept? Mhm;fact;Recipe;Recipe Summary;10;15;4
Mhm. Ok. Davon hab ich schon mehr aber also ich muss auch das Rezept nicht komplett so machen.;fact;Miscellaneous;Question regarding experiment;10;17;5
Ok. Davon hab ich schon mehr aber also ich muss auch das Rezept nicht komplett so machen. Ähm? Ja dann Was war es noch? Linsen?;fact;Ingredient;Ingredients in Recipe;10;19;6
Ähm? Ja dann Was war es noch? Linsen? Aber dann ähm wie würd ich dann anfangen? Also wahrscheinlich müsst ich erst mal was mit den Linsen machen?;competence;Preparation;Preparation Steps;10;21;7
Aber dann ähm wie würd ich dann anfangen? Also wahrscheinlich müsst ich erst mal was mit den Linsen machen? Wie bereit ich die zu?;competence;Cooking technique;Cooking technique - Ingredient;10;21;8
Wie bereit ich die zu? Ok also als erstes die Gurke?;competence;Preparation;Preparation Steps;10;23;9
Ok also als erstes die Gurke? Okay. Ah soll die geschält werden?;competence;Cooking technique;Cooking technique - Ingredient;10;27;10
Okay. Ah soll die geschält werden? Ok ich könnte ja derweil schon mal die Linsen machen also wie bereite ich die zu;competence;Cooking technique;Cooking technique - Ingredient;10;31;11
Ok ich könnte ja derweil schon mal die Linsen machen also wie bereite ich die zu. Wie war das nochmal am Anfang?;competence;Cooking technique;Cooking technique - Question regarding specific step;10;33;12
Wie war das nochmal am Anfang? Ok. Dann?;competence;Preparation;Preparation Steps;10;37;13
Ok. Dann? Ähm? Also ich lass das Wasser jetzt erstmal kochen?;competence;Preparation;Preparation Steps;10;39;14
Ähm? Also ich lass das Wasser jetzt erstmal kochen? Soll ich schon irgendwie Gewürze hinzufügen steht da was?;fact;Ingredient;Ingredient addition point in time;10;41;15
Soll ich schon irgendwie Gewürze hinzufügen steht da was? Ah ok. Mhm?;competence;Preparation;Preparation Steps;10;43;16
Ah ok. Mhm? Mhm;competence;Preparation;Preparation Steps;10;45;17
Mhm. Aber trotzdem müsst ich die ja erst gekocht haben.;competence;Preparation;Preparation Steps;10;49;18
Aber trotzdem müsst ich die ja erst gekocht haben. koch ich es noch zwölf Minuten.;fact;Time;Remaining Time;10;51;19
koch ich es noch zwölf Minuten. Also Ich lass es kochen und dann ähm dreh ich es runter und auf niedriger Hitze koch ich es noch zwölf Minuten.;competence;Preparation;Preparation Steps;10;51;20
Also Ich lass es kochen und dann ähm dreh ich es runter und auf niedriger Hitze koch ich es noch zwölf Minuten. dann ähm dreh ich es runter und auf niedriger Hitze;fact;Temperature;Temperature Reassurance;10;51;21
dann ähm dreh ich es runter und auf niedriger Hitze. Ok. Ähm mit den Tomaten? Die werden einfach gestückelt. Oder?;fact;Ingredient;Ingredient - Texture,Appearance;10;53;22
Ok. Ähm mit den Tomaten? Die werden einfach gestückelt. Oder?;fact;Ingredient;Ingredient - Texture,Appearance;10;53;23
Ok. Ähm mit den Tomaten? Die werden einfach gestückelt. Oder?;competence;Preparation;Preparation Steps;10;53;24
Ok. Ähm mit den Tomaten? Die werden einfach gestückelt. Oder? Vielleicht ähm könntest du noch fragen ob ich die Kichererbsen SCHÄlen muss oder nicht.;competence;Cooking technique;Cooking technique - Ingredient;10;55;25
Vielleicht ähm könntest du noch fragen ob ich die Kichererbsen SCHÄlen muss oder nicht. Die Schale nicht empfehlen? Aber es ist auch nicht schlimm wenn die;competence;Preparation;Preparation Steps;10;61;26
Die Schale nicht empfehlen? Aber es ist auch nicht schlimm wenn die. Ähm Müssen die Kichererbsen AUCH irgendwie abgewaschen werden? Steht das im Rezept?;fact;Ingredient;Ingredient - Proper Usage;10;65;27
Ähm Müssen die Kichererbsen AUCH irgendwie abgewaschen werden? Steht das im Rezept? Ähm wie war das zwölf Minuten;fact;Time;Cooking Time Reassurance;10;69;28
Ähm wie war das zwölf Minuten. Steht da auf wie viel Grad? Oder so?;fact;Temperature;Temperature explicit;10;69;29
Steht da auf wie viel Grad? Oder so? Ähm Ist Schlagrahm süße SAhne?;fact;Knowledge;Knowledge Ingredient;10;77;30
Ähm Ist Schlagrahm süße SAhne? Ok. Ähm Vielleicht kannst du gucken was man für ein CURry noch so braucht an Gewürzen oder so. Außer. Curry.;fact;Ingredient;Ingredients in Recipe;10;79;31
Ok. Ähm Vielleicht kannst du gucken was man für ein CURry noch so braucht an Gewürzen oder so. Außer. Curry. Also nicht das Currygewürz an SICH sondern jetzt wenn für eine Currysoße für ein Gericht. Was würde man da Falls ich das noch würzen kann.;fact;Ingredient;Ingredients in Recipe;10;81;32
Also nicht das Currygewürz an SICH sondern jetzt wenn für eine Currysoße für ein Gericht. Was würde man da Falls ich das noch würzen kann. Ähm kannst vielleicht schon mal gucken wie man ähm grünen Spargel zubereitet?;competence;Cooking technique;Cooking technique - Ingredient;10;87;33
Ähm kannst vielleicht schon mal gucken wie man ähm grünen Spargel zubereitet? Mhm?;fact;Recipe;Recipe Summary;10;89;34
Mhm? Ok. Also mit dem Ende ist der untere Teil gemeint oder wie?;competence;Cooking technique;Cooking technique - Reassurance;10;95;35
Ok. Also mit dem Ende ist der untere Teil gemeint oder wie? Also an der Stelle wo das Messer gut durchgeht. Oder was stand da?;competence;Cooking technique;Cooking technique - Reassurance;10;97;36
Also an der Stelle wo das Messer gut durchgeht. Oder was stand da? Ok. Und mit Olivenöl braten? Mit welchen Gewürzen?;fact;Ingredient;Ingredients in Recipe;10;99;37
Ok. Und mit Olivenöl braten? Mit welchen Gewürzen? Ah kannst vielleicht nochmal gucken äh was für eine Farbe der Spargel dann bekommen soll weil der soll sich ja irgendwie verfärben oder so.;fact;Ingredient;Ingredient - Texture,Appearance;10;101;38
Ah kannst vielleicht nochmal gucken äh was für eine Farbe der Spargel dann bekommen soll weil der soll sich ja irgendwie verfärben oder so. Halt mal vielleicht gut wenn wie kann ich Flüssigkeit ziehen?;competence;Cooking technique;Technical methods;10;111;39
Dann such mal was man mit äh such am besten was ist alles möglich also was möglich ist so such mal was man mit Kartoffeln und Kicher- Kartoffeln und rote Linsen machen kann?;fact;Recipe;Recipe Retrieval;11;2;1
Dann such mal was man mit äh such am besten was ist alles möglich also was möglich ist so such mal was man mit Kartoffeln und Kicher- Kartoffeln und rote Linsen machen kann? Schau mal schau mal rein;fact;Recipe;Recipe Summary;11;6;2
Schau mal schau mal rein. Das heißt ich muss wahrscheinlich zuerst Kartoffeln und Linsen kochen ne?;competence;Preparation;Preparation Steps;11;8;3
Das heißt ich muss wahrscheinlich zuerst Kartoffeln und Linsen kochen ne? Also muss man dann zuerst die Kartoffeln anscheinend schälen und kochen und die Linsen auch? oder nicht.;competence;Preparation;Preparation Steps;11;8;4
Also muss man dann zuerst die Kartoffeln anscheinend schälen und kochen und die Linsen auch? oder nicht. Also die Linsen zuerst mit in einen Topf?;competence;Preparation;Preparation Steps;11;10;5
Also die Linsen zuerst mit in einen Topf? Und die Kartoffeln in einen anderen Topf. Oder?;competence;Preparation;Preparation Steps;11;12;6
Und die Kartoffeln in einen anderen Topf. Oder? Ähm Ja wie viele Linsen steht da?;fact;Amount;Amount of Ingredients;11;14;7
Ähm Ja wie viele Linsen steht da? 250.;fact;Amount;Amount of Ingredients;11;18;8
250.;fact;Amount;Amount of Ingredients;11;18;9
250. Und 200 Spargel oder so?;fact;Amount;Amount of Ingredients;11;20;10
Und 200 Spargel oder so?;fact;Amount;Amount of Ingredients;11;20;11
Und 200 Spargel oder so? Was soll man mit äh nochmal mit Linsen machen?;competence;Preparation;Preparation of Ingredient;11;22;12
Was soll man mit äh nochmal mit Linsen machen? Ganz am Anfang?;competence;Preparation;Preparation Steps;11;24;13
Ganz am Anfang? Ok. Wie viel Brühe?;fact;Amount;Amount of Ingredients;11;26;14
Ok. Wie viel Brühe? Also die muss man schälen und schneiden. ne oder nicht schälen.;competence;Preparation;Preparation Steps;11;28;15
Also die muss man schälen und schneiden. ne oder nicht schälen.;competence;Preparation;Preparation of Ingredient;11;28;16
Also die muss man schälen und schneiden. ne oder nicht schälen. Ok Und nicht kurz kochen. Weil manchmal muss man sie kurz kochen. Das steht nicht drauf.;competence;Preparation;Preparation Steps;11;36;17
Ok Und nicht kurz kochen. Weil manchmal muss man sie kurz kochen. Das steht nicht drauf. Danach.;competence;Preparation;Preparation Steps;11;38;18
Danach.;competence;Preparation;Preparation Steps;11;38;19
Danach. Was soll man mit Kartoffeln?;competence;Preparation;Preparation of Ingredient;11;40;20
Was soll man mit Kartoffeln? Wie viele Kartoffeln?;fact;Amount;Amount of Ingredients;11;42;21
Wie viele Kartoffeln? wie viele;fact;Amount;Amount of Ingredients;11;44;22
wie viele. Steht nicht wie groß;fact;Ingredient;Ingredient - Texture,Appearance;11;44;23
Steht nicht wie groß. Muss man die schon klein schneiden? oder nicht.;competence;Preparation;Preparation of Ingredient;11;46;24
Muss man die schon klein schneiden? oder nicht. Kleine Würfel schneiden.;fact;Ingredient;Ingredient - Texture,Appearance;11;48;25
Kleine Würfel schneiden.;fact;Ingredient;Ingredient - Texture,Appearance;11;48;26
Kleine Würfel schneiden.;competence;Preparation;Preparation Steps;11;48;27
Kleine Würfel schneiden. Also. Wie war es jetzt. 250 Milliliter Gemüsebrühe?;fact;Amount;Amount of Ingredients;11;54;28
Also. Wie war es jetzt. 250 Milliliter Gemüsebrühe? 250 Milliliter Gemüsebrühe?;fact;Amount;Amount of Ingredients;11;54;29
250 Milliliter Gemüsebrühe? Ich hab vergessen. 200- 250. Ne 150.;fact;Amount;Amount of Ingredients;11;56;30
Ich hab vergessen. 200- 250. Ne 150.;fact;Amount;Amount of Ingredients;11;56;31
Ich hab vergessen. 200- 250. Ne 150. Und dann?;competence;Preparation;Preparation Steps;11;58;32
Und dann? So. Machen wir das nochmal. Kräutersalz. Pfeffer. Curry Lorblätter Lorbeerblätter;competence;Preparation;Preparation Steps;11;70;33
So. Machen wir das nochmal. Kräutersalz. Pfeffer. Curry Lorblätter Lorbeerblätter. Aber wie viel von den verschiedenen Kräutern stehts? oder;fact;Amount;Amount of Ingredients;11;82;34
Aber wie viel von den verschiedenen Kräutern stehts? oder. Was mach- was machen wir danach?;competence;Preparation;Preparation Steps;11;84;35
Was mach- was machen wir danach? ZUcker.;fact;Ingredient;Ingredients in Recipe;11;86;36
ZUcker.;fact;Ingredient;Ingredients in Recipe;11;86;37
ZUcker.;competence;Preparation;Preparation Steps;11;86;38
ZUcker. Also. Die brauchen ZEHN Minuten haben wir gesagt. Jetzt muss ich warten. Oder;fact;Time;Cooking Time Reassurance;11;88;39
Also. Die brauchen ZEHN Minuten haben wir gesagt. Jetzt muss ich warten. Oder. So. BUTTer hast du gesagt.;competence;Preparation;Preparation Steps;11;88;40
So. BUTTer hast du gesagt. Salz Pfeffer und Zucker. Oder?;fact;Ingredient;Ingredients in Recipe;11;90;41
Salz Pfeffer und Zucker. Oder? Steht drauf wie viel?;fact;Amount;Amount of Ingredients;11;92;42
Steht drauf wie viel? Teelöffel sind die Kleinen oder?;fact;Equipment;Equipment Definition;11;94;43
Teelöffel sind die Kleinen oder? Also. Die Kartoffeln muss man SO kochen die Spargel so und dann wenn sie angebraten sind dann Wasser dazu oder?;competence;Preparation;Preparation Steps;11;100;44
Also. Die Kartoffeln muss man SO kochen die Spargel so und dann wenn sie angebraten sind dann Wasser dazu oder? Ähm Und danach?;competence;Preparation;Preparation Steps;11;102;45
Ähm Muss ich den gekochten Spargel schälen?;competence;Cooking technique;Cooking technique - Ingredient;12;1;1
Ähm Muss ich den gekochten Spargel schälen? Also die Information war oben am Kopf anfangen und dann nach unten abziehen oder?;competence;Cooking technique;Cooking technique - Reassurance;12;5;2
Also die Information war oben am Kopf anfangen und dann nach unten abziehen oder? und wie lange?;fact;Time;Cooking Time;12;23;3
und wie lange? oder wie heiß muss das Wasser sein;fact;Temperature;Temperature explicit;12;23;4
oder wie heiß muss das Wasser sein. Ok Muss ich den Spargel kochen;competence;Cooking technique;Cooking technique - Ingredient;12;23;5
Ok Muss ich den Spargel kochen. Ok. Ähm und wie viel Wasser nehm ich dafür? Stand da was dazu;fact;Amount;Amount of Ingredients;12;25;6
Ok. Ähm und wie viel Wasser nehm ich dafür? Stand da was dazu. Wie viel Butter soll in das Wasser?;fact;Amount;Amount of Ingredients;12;27;7
Wie viel Butter soll in das Wasser? Und wie lang kochen? Was hieß es? 15 Minuten oder so oder?;fact;Time;Cooking Time Reassurance;12;29;8
Und wie lang kochen? Was hieß es? 15 Minuten oder so oder? Ein E-Löffel.;fact;Amount;Amount of Ingredients;12;29;9
Ein E-Löffel. Kann ich die schon reintun beVOR das Wasser kocht?;competence;Cooking technique;Cooking technique - Reassurance;12;31;10
Kann ich die schon reintun beVOR das Wasser kocht? Kann ich den Spargel schon reintun beVOR das Wasser kocht?;competence;Cooking technique;Cooking technique - Reassurance;12;33;11
Kann ich den Spargel schon reintun beVOR das Wasser kocht? Mhm. Kann ich die Zucchini und die Champignons jetzt einfach in eine Pfanne hauen und anbraten Muss ich dich dann was dazu fragen oder;competence;Cooking technique;Cooking technique - Reassurance;12;35;12
Mhm. Kann ich die Zucchini und die Champignons jetzt einfach in eine Pfanne hauen und anbraten Muss ich dich dann was dazu fragen oder. Wenn ich die jetzt einfach anbraten will in einer Pfanne. Muss ich dich dann was fragen wenn es nichts zu fragen gibt oder;competence;Cooking technique;Cooking technique - Reassurance;12;37;13
Wenn ich die jetzt einfach anbraten will in einer Pfanne. Muss ich dich dann was fragen wenn es nichts zu fragen gibt oder. Kann man die anbraten?;competence;Cooking technique;Cooking technique - Reassurance;12;39;14
Kann man die anbraten? Dann Aber Zucchini kann man anbraten;competence;Cooking technique;Cooking technique - Reassurance;12;41;15
Dann Aber Zucchini kann man anbraten. Und was für ein Öl nehm ich dann zum Anbraten?;fact;Ingredient;Ingredient Type;12;43;16
Und was für ein Öl nehm ich dann zum Anbraten? Mhm. Ok. Schneid ich die dann am besten in Scheiben oder in Streifen?;fact;Ingredient;Ingredient - Texture,Appearance;12;45;17
Mhm. Ok. Schneid ich die dann am besten in Scheiben oder in Streifen? Ok. Und muss ich die schälen noch davor?;competence;Cooking technique;Cooking technique - Ingredient;12;47;18
Ok. Und muss ich die schälen noch davor? Kann ich auch anbraten Oder;competence;Cooking technique;Cooking technique - Reassurance;12;51;19
Kann ich auch anbraten Oder. Paprika kann ich auch anbraten;competence;Cooking technique;Cooking technique - Reassurance;12;53;20
Paprika kann ich auch anbraten. Kann man Mozzarella anbraten?;competence;Cooking technique;Cooking technique - Ingredient;12;61;21
Kann man Mozzarella anbraten? Gut. Ok. Wie bereitet man die Kichererbsen zu?;competence;Cooking technique;Cooking technique - Ingredient;12;67;22
Gut. Ok. Wie bereitet man die Kichererbsen zu? Wie sieht das mit dem Wecker aus?;fact;Time;Remaining Time;12;73;23
Wie sieht das mit dem Wecker aus? Wo ist der Unterschied zwischen Crème fraîche und Schlagrahm?;fact;Knowledge;Knowledge Ingredient;12;75;24
Wo ist der Unterschied zwischen Crème fraîche und Schlagrahm? Wir hätten die KICHERerbsen früher REINtun sollen wahrscheinlich Wenn die JETZT noch zwanzig Minuten kochen müssen;fact;Time;Cooking Time Reassurance;12;95;25
Wir hätten die KICHERerbsen früher REINtun sollen wahrscheinlich Wenn die JETZT noch zwanzig Minuten kochen müssen. Nach soll man irgendwie zwanzig Minuten kochen?;fact;Time;Cooking Time Reassurance;12;97;26
Nach soll man irgendwie zwanzig Minuten kochen? Ok. Heißt das jetzt aber also kann man die jetzt auch schon essen oder noch nicht.;fact;Ingredient;Ingredient eatability;12;101;27
Ok. Heißt das jetzt aber also kann man die jetzt auch schon essen oder noch nicht.;fact;Ingredient;Ingredient eatability;12;101;28
Ok. Heißt das jetzt aber also kann man die jetzt auch schon essen oder noch nicht. Gut ich mein so aus der Dose wie sie waren konnte hätte man die da schon essen können oder;fact;Ingredient;Ingredient eatability;12;103;29
Gut ich mein so aus der Dose wie sie waren konnte hätte man die da schon essen können oder;fact;Ingredient;Ingredient eatability;12;103;30
Gut ich mein so aus der Dose wie sie waren konnte hätte man die da schon essen können oder. Wie spät ist es denn?;fact;Time;Plain Time;12;105;31
Wie spät ist es denn? Ok danke Und danach kommt noch eine Befragung oder?;fact;Miscellaneous;Question regarding experiment;12;107;32
So. Alex. Was kann ich mit diesen Zutaten hier so kochen.;fact;Recipe;Recipe Retrieval;13;2;1
So. Alex. Was kann ich mit diesen Zutaten hier so kochen. Was ist in dem vegetarischen Auflauf so drin?;fact;Ingredient;Ingredients in Recipe;13;6;2
Was ist in dem vegetarischen Auflauf so drin? Mit Zwiebeln? Oder?;fact;Ingredient;Ingredients in Recipe;13;8;3
Mit Zwiebeln? Oder?;fact;Ingredient;Ingredients in Recipe;13;8;4
Mit Zwiebeln? Oder? Was ist mit den äh roten Linsten? Mit Zwiebeln? Oder?;fact;Recipe;Recipe Summary;13;8;5
Was ist mit den äh roten Linsten? Mit Zwiebeln? Oder? So. Was brauch ich alles.;fact;Ingredient;Ingredients in Recipe;13;10;6
So. Was brauch ich alles. Dann wie fängt man an?;competence;Preparation;Preparation Steps;13;18;7
Dann wie fängt man an? Bei wie viel Wasser?;fact;Amount;Amount of Ingredients;13;20;8
Bei wie viel Wasser? Und 25 Gramm Linsen Richtig?;fact;Amount;Amount of Ingredients;13;22;9
Und 25 Gramm Linsen Richtig?;fact;Amount;Amount of Ingredients;13;22;10
Und 25 Gramm Linsen Richtig? Ok. Gut. Die doppelte Menge Wasser.;fact;Amount;Ratio;13;26;11
